organism,model,model_set,predictor,estimate,effect_ratio,p_value,n
Yeast (Sharp),VIF,core,log_protein,2.33,,,4808
Yeast (Sharp),VIF,core,log_rna,2.201,,,4808
Yeast (Sharp),VIF,core,gc_content,1.122,,,4808
Yeast (Sharp),VIF,core,essential,1.065,,,4808
Yeast (Sharp),VIF,core,log_length,1.073,,,4808
Yeast (Sharp),logistic,core,log_protein,-0.1254,0.8821,0.1947,4808
Yeast (Sharp),logistic,core,log_rna,0.0134,1.0135,0.924,4808
Yeast (Sharp),logistic,core,gc_content,0.0716,1.0742,0.9704,4808
Yeast (Sharp),logistic,core,essential,0.0279,1.0282,0.8397,4808
Yeast (Sharp),logistic,core,log_length,2.8931,18.0483,0.0,4808
Yeast (Sharp),negbin,core,log_protein,-0.1248,0.8826,0.183,4808
Yeast (Sharp),negbin,core,log_rna,0.0406,1.0414,0.7662,4808
Yeast (Sharp),negbin,core,gc_content,-0.2144,0.807,0.9095,4808
Yeast (Sharp),negbin,core,essential,-0.0257,0.9747,0.8485,4808
Yeast (Sharp),negbin,core,log_length,0.352,1.4219,0.0846,4808
Yeast (Sharp),kendall_tau,core,log_protein,-0.0214,,0.0646,4808
Yeast (Sharp),kendall_tau,core,log_rna,-0.0309,,0.0078,4808
Yeast (Sharp),kendall_tau,core,gc_content,-0.047,,0.0,4808
Yeast (Sharp),kendall_tau,core,essential,0.0136,,0.3352,4808
Yeast (Sharp),kendall_tau,core,log_length,0.1524,,0.0,4808
Yeast (Sharp),logistic,full,log_protein,-0.126,0.8816,0.194,4808
Yeast (Sharp),logistic,full,log_rna,0.0202,1.0204,0.8864,4808
Yeast (Sharp),logistic,full,gc_content,0.17,1.1853,0.9299,4808
Yeast (Sharp),logistic,full,essential,0.0289,1.0294,0.8337,4808
Yeast (Sharp),logistic,full,log_length,2.8871,17.942,0.0,4808
Yeast (Sharp),logistic,full,replication_timing,0.0226,1.0229,0.037,4808
Yeast (Sharp),negbin,full,log_protein,-0.1271,0.8806,0.1764,4808
Yeast (Sharp),negbin,full,log_rna,0.0504,1.0517,0.7129,4808
Yeast (Sharp),negbin,full,gc_content,-0.0948,0.9095,0.9599,4808
Yeast (Sharp),negbin,full,essential,-0.0242,0.9761,0.8574,4808
Yeast (Sharp),negbin,full,log_length,0.3455,1.4127,0.0906,4808
Yeast (Sharp),negbin,full,replication_timing,0.021,1.0213,0.0453,4808
Yeast (Sharp),kendall_tau,full,log_protein,-0.0214,,0.0646,4808
Yeast (Sharp),kendall_tau,full,log_rna,-0.0309,,0.0078,4808
Yeast (Sharp),kendall_tau,full,gc_content,-0.047,,0.0,4808
Yeast (Sharp),kendall_tau,full,essential,0.0136,,0.3352,4808
Yeast (Sharp),kendall_tau,full,log_length,0.1524,,0.0,4808
Yeast (Sharp),kendall_tau,full,replication_timing,0.0232,,0.0449,4808
