locus_tag,gene_name,mutation_count,mutated,CDS_length_bp,mutation_density,gc_content,strand,protein_abundance,rna_level,essential,ori_distance
b0001,thrL,0,0,63,0.0,0.5238095238095238,+,,,0.0,0.3085668636942192
b0002,thrA,1,1,2460,0.0004065040650406,0.5308943089430894,+,508.0,9.924996677572809,0.0,0.30914682962014384
b0003,thrB,0,0,930,0.0,0.5645161290322581,+,202.0,9.66244491893012,0.0,0.3098788965652746
b0004,thrC,0,0,1284,0.0,0.5295950155763239,+,934.0,9.429484318069328,0.0,0.310357174557679
b0005,yaaX,0,0,294,0.0,0.54421768707483,+,,6.246866574238756,0.0,0.31079021003728846
b0006,yaaA,0,0,774,0.0,0.4987080103359173,-,70.2,6.312855843351262,0.0,0.3110870870974386
b0007,yaaJ,0,0,1428,0.0,0.5343137254901961,-,0.345,3.5214670118195777,0.0,0.31159251059752
b0008,talB,0,0,951,0.0,0.5215562565720294,+,2324.0,10.31654301766234,0.0,0.3122259057766502
b0009,mog,0,0,585,0.0,0.5470085470085471,+,90.5,5.786652034470553,0.0,0.31260723552735104
b0010,yaaH,0,0,564,0.0,0.5336879432624113,-,,4.385332889568222,0.0,0.31287093474478483
b0011,yaaW,0,0,711,0.0,0.509142053445851,-,0.119,2.223430650498469,0.0,0.3132104690312846
b0013,yaaI,0,0,402,0.0,0.4925373134328358,-,0.099,1.244887451803964,0.0,0.3134625344597139
b0014,dnaK,0,0,1914,0.0,0.5120167189132706,+,4650.0,9.722098589864022,0.0,0.31412479867081805
b0015,dnaJ,0,0,1128,0.0,0.5531914893617021,+,225.0,7.491039846671806,0.0,0.31481937896249007
b0016,insL1,0,0,1110,0.0,0.5207207207207207,+,1.33,5.5543471135370135,0.0,0.31536573616462416
b0018,mokC,0,0,207,0.0,0.5217391304347826,-,,3.745597148656964,0.0,0.3157337086020236
b0019,nhaA,0,0,1164,0.0,0.5146048109965635,+,6.07,6.266571021180029,0.0,0.3162580908693715
b0020,nhaR,0,0,903,0.0,0.4761904761904761,+,0.811,5.606082909443751,0.0,0.3167299056456624
b0021,insB1,0,0,501,0.0,0.5489021956087824,-,,2.1946994440719445,0.0,0.3171155442071056
b0022,insA,0,0,273,0.0,0.5347985347985348,-,0.189,3.662347194508594,0.0,0.31724825557797093
b0023,rpsT,0,0,261,0.0,0.4712643678160919,-,4422.0,11.40605191210092,0.0,0.31749644307673214
b0024,yaaY,0,0,216,0.0,0.4907407407407407,+,,3.595819046418758,0.0,0.31764466616627013
b0025,ribF,0,0,939,0.0,0.5378061767838126,+,31.1,8.075953876437616,1.0,0.317897593356848
b0026,ileS,0,0,2814,0.0,0.5579246624022743,+,531.0,8.746835423410118,1.0,0.3187257467815338
b0027,lspA,0,0,492,0.0,0.5386178861788617,+,1.01,7.6623452892454145,1.0,0.31943885495939806
b0028,fkpB,0,0,447,0.0,0.5480984340044742,+,293.0,7.150493304355726,0.0,0.31969566007964406
b0029,ispH,0,0,948,0.0,0.5527426160337553,+,79.3,6.979816400924596,1.0,0.3199981385937593
b0030,rihC,0,0,912,0.0,0.5646929824561403,+,91.2,3.8178269623005816,0.0,0.32042815790584905
b0031,dapB,0,0,819,0.0,0.536019536019536,+,293.0,8.209073130546649,1.0,0.32087368893661133
b0032,carA,1,1,1146,0.0008726003490401,0.5349040139616056,+,434.0,8.344011421053569,0.0,0.3214945885645886
b0033,carB,0,0,3219,0.0,0.5632183908045977,+,516.0,8.163722552933985,0.0,0.32244338869006123
b0034,caiF,0,0,393,0.0,0.4631043256997455,+,0.401,5.408330383224275,0.0,0.3233353125137343
b0035,caiE,0,0,588,0.0,0.5510204081632653,-,,1.9206424436717504,0.0,0.32358479265571827
b0036,caiD,0,0,783,0.0,0.5427841634738186,-,4.73,1.436811573482943,0.0,0.32388339324016535
b0037,caiC,0,0,1551,0.0,0.5112830431979368,-,1.29,2.979583814710325,0.0,0.3244340592530418
b0038,caiB,1,1,1215,0.0008230452674897,0.5275720164609053,-,2.58,2.8239290295864805,0.0,0.32506271474035536
b0039,caiA,0,0,1140,0.0,0.5403508771929825,-,4.34,3.6497392025800175,0.0,0.3256267380665332
b0040,caiT,0,0,1512,0.0,0.5191798941798942,-,0.08,0.9416183001744556,0.0,0.32621230544642293
b0041,fixA,0,0,768,0.0,0.52734375,+,17.8,1.200314313279884,0.0,0.32690774750024343
b0042,fixB,0,0,939,0.0,0.5676251331203408,+,19.9,1.1285071929410844,0.0,0.3272826140348307
