locus_tag,chromosome,gene_name,mutation_count,mutated,CDS_length_bp,mutation_density,gc_content,protein_abundance,rna_level,essential,replication_timing
Q0010,chrMito,Q0010,0,0,387,0.0,0.2377260981912144,,,,
Q0017,chrMito,Q0017,0,0,162,0.0,0.2901234567901234,,,,
Q0032,chrMito,Q0032,0,0,291,0.0,0.1134020618556701,,,,
Q0045,chrMito,COX1,0,0,1605,0.0,0.2990654205607476,11.8,,,
Q0050,chrMito,AI1,0,0,2505,0.0,0.249500998003992,0.481,,,
Q0055,chrMito,AI2,0,0,2565,0.0,0.2651072124756335,0.036,,,
Q0060,chrMito,AI3,0,0,1248,0.0,0.2163461538461538,0.198,,,
Q0065,chrMito,AI4,0,0,1671,0.0,0.234590065828845,0.122,,,
Q0070,chrMito,AI5_ALPHA,0,0,1893,0.0,0.2287374537770734,0.011,,,
Q0075,chrMito,AI5_BETA,0,0,1065,0.0,0.1652582159624413,,,,
Q0080,chrMito,ATP8,0,0,147,0.0,0.1904761904761904,,,,
Q0085,chrMito,ATP6,0,0,780,0.0,0.2371794871794871,36.8,,,
Q0092,chrMito,Q0092,0,0,141,0.0,0.1560283687943262,,,,
Q0105,chrMito,COB,0,0,1158,0.0,0.2772020725388601,0.937,,,
Q0110,chrMito,BI2,0,0,1272,0.0,0.2028301886792453,0.192,,,
Q0115,chrMito,BI3,0,0,1554,0.0,0.1898326898326898,0.465,,,
Q0120,chrMito,BI4,0,0,1917,0.0,0.2269170579029734,0.82,,,
Q0130,chrMito,OLI1,0,0,231,0.0,0.3333333333333333,0.579,,,
Q0140,chrMito,VAR1,0,0,1197,0.0,0.1035923141186299,20.8,,,
Q0142,chrMito,Q0142,0,0,177,0.0,0.1977401129943503,,,,
Q0143,chrMito,Q0143,0,0,153,0.0,0.2287581699346405,,,,
Q0144,chrMito,Q0144,0,0,330,0.0,0.0818181818181818,,,,
Q0160,chrMito,SCEI,0,0,708,0.0,0.2019774011299435,,,,
Q0182,chrMito,Q0182,0,0,405,0.0,0.2617283950617284,,,,
Q0250,chrMito,COX2,0,0,756,0.0,0.2671957671957672,87.6,,,
Q0255,chrMito,Q0255,0,0,1419,0.0,0.1536293164200141,0.486,,,
Q0275,chrMito,COX3,0,0,810,0.0,0.3,0.423,,,
Q0297,chrMito,Q0297,0,0,156,0.0,0.4487179487179487,,,,
R0010W,2micron,FLP1,0,0,1272,0.0,0.3702830188679245,,,,
R0020C,2micron,REP1,0,0,1122,0.0,0.3983957219251337,,,,
R0030W,2micron,RAF1,0,0,546,0.0,0.3992673992673993,,,,
R0040C,2micron,REP2,0,0,891,0.0,0.4175084175084175,,,,
